python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'400'_'1'_'16.pt --cuda --model GRU --epochs 10 --emsize 400 --nlayers 1 --bptt 16

/home/drr342/pyenv/py3.6.3/lib/python3.6/site-packages/torch/nn/modules/rnn.py:46: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.2 and num_layers=1
  "num_layers={}".format(dropout, num_layers))
| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 24.80 | loss  7.82 | ppl  2485.35
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 23.92 | loss  6.68 | ppl   797.64
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 23.97 | loss  6.35 | ppl   570.66
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 23.94 | loss  6.23 | ppl   508.65
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  6.09 | ppl   439.56
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  6.00 | ppl   401.61
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  5.81 | ppl   333.67
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  5.82 | ppl   335.68
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 23.99 | loss  5.84 | ppl   343.21
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 24.00 | loss  5.79 | ppl   327.18
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 24.02 | loss  5.78 | ppl   324.19
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 24.01 | loss  5.75 | ppl   314.43
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 24.00 | loss  5.75 | ppl   314.97
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 24.01 | loss  5.78 | ppl   322.47
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 23.96 | loss  5.73 | ppl   306.53
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 24.06 | loss  5.72 | ppl   304.38
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 24.02 | loss  5.82 | ppl   335.61
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 24.09 | loss  5.70 | ppl   300.04
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 24.06 | loss  5.64 | ppl   281.19
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 24.14 | loss  5.67 | ppl   289.13
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 24.20 | loss  5.66 | ppl   287.33
