python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/LSTM'_'200'_'1'_'16.pt --cuda --model LSTM --epochs 10 --emsize 200 --nlayers 1 --bptt 16

/home/drr342/pyenv/py3.6.3/lib/python3.6/site-packages/torch/nn/modules/rnn.py:46: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.2 and num_layers=1
  "num_layers={}".format(dropout, num_layers))
| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 22.19 | loss  7.55 | ppl  1907.89
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 21.42 | loss  6.68 | ppl   795.04
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 21.37 | loss  6.38 | ppl   592.13
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 21.31 | loss  6.23 | ppl   508.08
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 21.49 | loss  6.09 | ppl   439.37
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 21.43 | loss  6.00 | ppl   402.32
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 21.49 | loss  5.85 | ppl   346.63
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 21.56 | loss  5.84 | ppl   342.99
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 21.55 | loss  5.83 | ppl   342.02
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 21.56 | loss  5.78 | ppl   322.34
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 21.63 | loss  5.76 | ppl   315.96
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 21.77 | loss  5.73 | ppl   308.22
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 21.68 | loss  5.72 | ppl   305.67
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 21.60 | loss  5.73 | ppl   306.55
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 21.76 | loss  5.67 | ppl   289.32
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 21.69 | loss  5.65 | ppl   284.23
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 21.64 | loss  5.74 | ppl   311.70
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 21.80 | loss  5.63 | ppl   278.25
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 21.83 | loss  5.55 | ppl   258.24
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 21.99 | loss  5.57 | ppl   263.49
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 21.80 | loss  5.55 | ppl   257.95
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 21.70 | loss  5.52 | ppl   248.89
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 21.80 | loss  5.51 | ppl   247.57
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 21.93 | loss  5.41 | ppl   224.73
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 21.96 | loss  5.42 | ppl   225.01
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 21.83 | loss  5.53 | ppl   252.48
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 21.96 | loss  5.45 | ppl   233.70
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 21.81 | loss  5.47 | ppl   237.36
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 21.92 | loss  5.51 | ppl   247.12
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 21.80 | loss  5.34 | ppl   209.00
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 21.81 | loss  5.38 | ppl   216.15
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 22.15 | loss  5.34 | ppl   207.97
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 147.74s | valid loss  5.39 | valid ppl   219.54
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 21.96 | loss  5.40 | ppl   220.44
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 21.80 | loss  5.37 | ppl   214.95
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 21.82 | loss  5.32 | ppl   204.35
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.41 | ppl   223.35
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.26 | ppl   192.89
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 21.84 | loss  5.22 | ppl   185.77
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.10 | ppl   164.54
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 21.82 | loss  5.19 | ppl   180.26
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 21.85 | loss  5.23 | ppl   187.67
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 21.84 | loss  5.20 | ppl   180.56
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 21.84 | loss  5.18 | ppl   176.97
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.16 | ppl   174.08
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 21.83 | loss  5.18 | ppl   178.50
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 21.82 | loss  5.25 | ppl   189.99
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.19 | ppl   179.04
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.19 | ppl   179.29
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.30 | ppl   200.19
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 21.88 | loss  5.18 | ppl   177.58
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 21.92 | loss  5.12 | ppl   166.62
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 21.85 | loss  5.16 | ppl   174.43
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 21.88 | loss  5.15 | ppl   172.32
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 21.84 | loss  5.14 | ppl   170.27
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 21.83 | loss  5.11 | ppl   165.10
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 21.85 | loss  5.04 | ppl   153.83
| epoch   2 |  5000/ 6526 batches | lr 20.00 | ms/batch 21.85 | loss  5.04 | ppl   154.00
| epoch   2 |  5200/ 6526 batches | lr 20.00 | ms/batch 21.92 | loss  5.14 | ppl   170.70
| epoch   2 |  5400/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.08 | ppl   160.98
| epoch   2 |  5600/ 6526 batches | lr 20.00 | ms/batch 21.92 | loss  5.11 | ppl   165.67
| epoch   2 |  5800/ 6526 batches | lr 20.00 | ms/batch 21.88 | loss  5.17 | ppl   176.55
| epoch   2 |  6000/ 6526 batches | lr 20.00 | ms/batch 21.87 | loss  5.00 | ppl   147.96
| epoch   2 |  6200/ 6526 batches | lr 20.00 | ms/batch 21.85 | loss  5.03 | ppl   152.23
| epoch   2 |  6400/ 6526 batches | lr 20.00 | ms/batch 21.86 | loss  5.00 | ppl   147.78
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 148.52s | valid loss  5.25 | valid ppl   190.89
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 6526 batches | lr 20.00 | ms/batch 22.65 | loss  5.08 | ppl   160.40
| epoch   3 |   400/ 6526 batches | lr 20.00 | ms/batch 22.53 | loss  5.08 | ppl   160.71
| epoch   3 |   600/ 6526 batches | lr 20.00 | ms/batch 22.52 | loss  5.05 | ppl   156.12
| epoch   3 |   800/ 6526 batches | lr 20.00 | ms/batch 22.48 | loss  5.13 | ppl   169.86
| epoch   3 |  1000/ 6526 batches | lr 20.00 | ms/batch 22.52 | loss  5.00 | ppl   147.80
| epoch   3 |  1200/ 6526 batches | lr 20.00 | ms/batch 22.48 | loss  4.96 | ppl   142.66
| epoch   3 |  1400/ 6526 batches | lr 20.00 | ms/batch 22.58 | loss  4.86 | ppl   129.06
| epoch   3 |  1600/ 6526 batches | lr 20.00 | ms/batch 22.45 | loss  4.96 | ppl   142.16
| epoch   3 |  1800/ 6526 batches | lr 20.00 | ms/batch 22.52 | loss  5.02 | ppl   151.13
| epoch   3 |  2000/ 6526 batches | lr 20.00 | ms/batch 22.52 | loss  4.97 | ppl   143.59
| epoch   3 |  2200/ 6526 batches | lr 20.00 | ms/batch 22.50 | loss  4.95 | ppl   140.90
| epoch   3 |  2400/ 6526 batches | lr 20.00 | ms/batch 22.50 | loss  4.93 | ppl   138.45
| epoch   3 |  2600/ 6526 batches | lr 20.00 | ms/batch 22.50 | loss  4.97 | ppl   144.51
| epoch   3 |  2800/ 6526 batches | lr 20.00 | ms/batch 22.53 | loss  5.04 | ppl   155.22
| epoch   3 |  3000/ 6526 batches | lr 20.00 | ms/batch 22.54 | loss  4.98 | ppl   146.04
| epoch   3 |  3200/ 6526 batches | lr 20.00 | ms/batch 22.50 | loss  4.98 | ppl   145.06
| epoch   3 |  3400/ 6526 batches | lr 20.00 | ms/batch 22.49 | loss  5.10 | ppl   164.58
| epoch   3 |  3600/ 6526 batches | lr 20.00 | ms/batch 22.50 | loss  4.97 | ppl   144.54
| epoch   3 |  3800/ 6526 batches | lr 20.00 | ms/batch 22.51 | loss  4.93 | ppl   138.14
